,Body (HTML),Variant Inventory Qty,Variant Grams,Image Src,Status,description,CategoryName,Variant Compare At Price,Variant Price,Custom Product Type,First,Second,Third,Fourth,Title,added_by,Vendor,Image Alt Text,SEO Title,SEO Description,Published,Variant Inventory Tracker,Tags,Standard Product Type,,Handle
Shoes Rack,<ul><li>Foldable shoes rack</li><li>Washable cover</li><li>can store 15pairs of shoe</li><li>5steps rack</li></ul>,194,1,https://static-01.daraz.com.np/p/32f30b97171bef9404e57ce8b70451ba.jpg,inactive,,Furniture & Décor / Storage & Organisation / Shoe Organisers,,1200,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Shoes Rack,seller,A&A readymade,Shoes Rack price in Nepal,Shoes Rack price in Nepal,<ul><li>Foldable shoes rack</li><li>Washable cover</li><li>can store 15pairs of shoe</li><li>5steps rack</li></ul>,TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49183,Shoes Rack49183
5 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover,"<ul>
	<li>Shoes rack 5&nbsp;steps</li>
	<li>Can store 15&nbsp;pairs of shoes</li>
	<li>Easy to build</li>
	<li>Portable/ foldable</li>
	<li>Washable Cover with zippers to ensure dust protection</li>
	<li>Comes in random patterns</li>
</ul>_<div></div>",168,1,https://static-01.daraz.com.np/p/e562cf90ac99708d7829df2124402100.png,active,<div></div>,Furniture & Décor / Storage & Organisation / Shoe Organisers,1500,1350,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,5 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover,seller,A&A readymade,5 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover price in Nepal,5 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover price in Nepal,"<ul>
	<li>Shoes rack 5&nbsp;steps</li>
	<li>Can store 15&nbsp;pairs of shoes</li>
	<li>Easy to build</li>
	<li>Portable/ foldable</li>
	<li>Washable Cover with zippers to ensure dust protection</li>
	<li>Comes in random patterns</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49184,5 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover49184
Double shelf shoes rack,<ul><li>panoramic pattern shoes rack</li><li>Can adjust 36 pairs of shoes</li></ul>,200,3,,inactive,,Furniture & Décor / Storage & Organisation / Shoe Organisers,,1999,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Double shelf shoes rack,seller,A&A readymade,Double shelf shoes rack price in Nepal,Double shelf shoes rack price in Nepal,<ul><li>panoramic pattern shoes rack</li><li>Can adjust 36 pairs of shoes</li></ul>,TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49185,Double shelf shoes rack49185
6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer,"<p>◽Durable and attractive plastic panels<br />
◽Easy assembling and dissembling<br />
◽Designs can be personalized<br />
◽Flip covers for dust protection (transparent cover for black, full baby pink cover for pink)<br />
◽ Easy maintenance<br />
◽Stylish and spacious storage containers for your room<br />
◽Panels made of PP sheets, easy to wipe dirt off<br />
◽Perfect for organizing shoes, clothes, accessories, toys, books, and much more</p>

<p>◽ One Panel can be removed to fit in high boots</p>

<p>Size:&nbsp;32inch*13*37</p>",3,3,https://static-01.daraz.com.np/p/mdc/a6ee72640c92d3d8d4cd0181376fd325.jpg,inactive,,Furniture & Décor / Storage & Organisation / Shoe Organisers,3600,3350,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer,seller,A&A readymade,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer price in Nepal,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer price in Nepal,"<p>◽Durable and attractive plastic panels<br />
◽Easy assembling and dissembling<br />
◽Designs can be personalized<br />
◽Flip covers for dust protection (transparent cover for black, full baby pink cover for pink)<br />
◽ Easy maintenance<br />
◽Stylish and spacious storage containers for your room<br />
◽Panels made of PP sheets, easy to wipe dirt off<br />
◽Perfect for organizing shoes, clothes, accessories, toys, books, and much more</p>

<p>◽ One Panel can be removed to fit in high boots</p>

<p>Size:&nbsp;32inch*13*37</p>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49186,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer49186
Portable Plastic Shoe Cabinet,<ul><li>Portable and adjustable shoe rack</li><li>5steps</li></ul>,498,4,https://static-01.daraz.com.np/p/93e2a3708a3a31c96848620a8188c85e.jpg,inactive,,Furniture & Décor / Storage & Organisation / Shoe Organisers,2400,2250,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Portable Plastic Shoe Cabinet,seller,A&A readymade,Portable Plastic Shoe Cabinet price in Nepal,Portable Plastic Shoe Cabinet price in Nepal,<ul><li>Portable and adjustable shoe rack</li><li>5steps</li></ul>,TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49187,Portable Plastic Shoe Cabinet49187
Folding Portable Wardrobe,<ul><li>folding portable wardrobe</li><li>clothes hanging portable wardrobe</li><li>washable cover</li><li>printed cover</li></ul>,100,2,https://static-01.daraz.com.np/p/cf063459438cafac7f537427380d1a9b.jpg,inactive,,Furniture & Décor / Storage & Organisation / Shoe Organisers,,2500,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Folding Portable Wardrobe,seller,A&A readymade,Folding Portable Wardrobe price in Nepal,Folding Portable Wardrobe price in Nepal,<ul><li>folding portable wardrobe</li><li>clothes hanging portable wardrobe</li><li>washable cover</li><li>printed cover</li></ul>,TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49188,Folding Portable Wardrobe49188
Double Shoe Rack For Boots,<ul><li>Double shoe rack compatible with boots</li><li>6steps in height (total 9 steps)</li></ul>,242,0.7,https://static-01.daraz.com.np/p/8433c2ca841735f3bb1a5c99b5c2ea95.jpg,inactive,,Furniture & Décor / Storage & Organisation / Shoe Organisers,1250,1200,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Double Shoe Rack For Boots,seller,A&A readymade,Double Shoe Rack For Boots price in Nepal,Double Shoe Rack For Boots price in Nepal,<ul><li>Double shoe rack compatible with boots</li><li>6steps in height (total 9 steps)</li></ul>,TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49189,Double Shoe Rack For Boots49189
Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors),"<ul>
	<li>Material: Canvas Cloth, Stainless steel</li>
	<li>6 Layered Shoe Rack (12 compartments)</li>
	<li>Adjustable &amp; Fold-able</li>
	<li>DampProof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 118x 30 x 120</li>
	<li>You can also remove one layer to fit in high boots</li>
	<li>Weight: 2Kg</li>
	<li>Sent in random colors</li>
</ul>_<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",20,1,https://static-01.daraz.com.np/p/aeff254dcf0bfabb58246b7dfa576d48.png,active,"<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",Furniture & Décor / Storage & Organisation / Shoe Organisers,3000,1899,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors),seller,A&A readymade,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors) price in Nepal,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors) price in Nepal,"<ul>
	<li>Material: Canvas Cloth, Stainless steel</li>
	<li>6 Layered Shoe Rack (12 compartments)</li>
	<li>Adjustable &amp; Fold-able</li>
	<li>DampProof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 118x 30 x 120</li>
	<li>You can also remove one layer to fit in high boots</li>
	<li>Weight: 2Kg</li>
	<li>Sent in random colors</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49190,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors)49190
Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors),"<ul>
	<li>Material: Canvas Cloth, Stainless steel</li>
	<li>6 Layered Shoe Rack (12 compartments)</li>
	<li>Adjustable &amp; Fold-able</li>
	<li>DampProof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 118x 30 x 120</li>
	<li>You can also remove one layer to fit in high boots</li>
	<li>Weight: 2Kg</li>
	<li>Sent in random colors</li>
</ul>_<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",20,1,https://static-01.daraz.com.np/p/214bf5fc6a568040ec8ad3a275d4460f.jpg,active,"<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",Furniture & Décor / Storage & Organisation / Shoe Organisers,3000,1899,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors),seller,A&A readymade,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors) price in Nepal,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors) price in Nepal,"<ul>
	<li>Material: Canvas Cloth, Stainless steel</li>
	<li>6 Layered Shoe Rack (12 compartments)</li>
	<li>Adjustable &amp; Fold-able</li>
	<li>DampProof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 118x 30 x 120</li>
	<li>You can also remove one layer to fit in high boots</li>
	<li>Weight: 2Kg</li>
	<li>Sent in random colors</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49191,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors)49191
Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors),"<ul>
	<li>Material: Canvas Cloth, Stainless steel</li>
	<li>6 Layered Shoe Rack (12 compartments)</li>
	<li>Adjustable &amp; Fold-able</li>
	<li>DampProof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 118x 30 x 120</li>
	<li>You can also remove one layer to fit in high boots</li>
	<li>Weight: 2Kg</li>
	<li>Sent in random colors</li>
</ul>_<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",20,1,https://static-01.daraz.com.np/p/fcffee811b8a98a07606b8b47b76678b.jpg,active,"<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",Furniture & Décor / Storage & Organisation / Shoe Organisers,3000,1899,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors),seller,A&A readymade,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors) price in Nepal,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors) price in Nepal,"<ul>
	<li>Material: Canvas Cloth, Stainless steel</li>
	<li>6 Layered Shoe Rack (12 compartments)</li>
	<li>Adjustable &amp; Fold-able</li>
	<li>DampProof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 118x 30 x 120</li>
	<li>You can also remove one layer to fit in high boots</li>
	<li>Weight: 2Kg</li>
	<li>Sent in random colors</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49192,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors)49192
Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors),"<ul>
	<li>Material: Canvas Cloth, Stainless steel</li>
	<li>6 Layered Shoe Rack (12 compartments)</li>
	<li>Adjustable &amp; Fold-able</li>
	<li>DampProof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 118x 30 x 120</li>
	<li>You can also remove one layer to fit in high boots</li>
	<li>Weight: 2Kg</li>
	<li>Sent in random colors</li>
</ul>_<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",20,1,https://static-01.daraz.com.np/p/2c32ae42ab66a774490311ad71c89631.jpg,active,"<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",Furniture & Décor / Storage & Organisation / Shoe Organisers,3000,1899,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors),seller,A&A readymade,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors) price in Nepal,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors) price in Nepal,"<ul>
	<li>Material: Canvas Cloth, Stainless steel</li>
	<li>6 Layered Shoe Rack (12 compartments)</li>
	<li>Adjustable &amp; Fold-able</li>
	<li>DampProof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 118x 30 x 120</li>
	<li>You can also remove one layer to fit in high boots</li>
	<li>Weight: 2Kg</li>
	<li>Sent in random colors</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49193,Double Shoe Rack Dustproof And Dampproof Shoe Organiser 12 steps 6 layers (Sent in random colors)49193
7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel,"<ul>
	<li>Model:FH-5578</li>
	<li>Material:Cloth, Stainless steel</li>
	<li>7 Layered Shoe Rack</li>
	<li>Adjustable &amp; Foldable</li>
	<li>Waterproof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 60 x 30 x 126</li>
	<li>Weight: 2.5 Kg</li>
</ul>_<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",20,1,https://static-01.daraz.com.np/p/ee51b9bc9d827617a2fc8f96b902a441.jpg,active,"<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",Furniture & Décor / Storage & Organisation / Shoe Organisers,2100,1799,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel,seller,A&A readymade,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel price in Nepal,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel price in Nepal,"<ul>
	<li>Model:FH-5578</li>
	<li>Material:Cloth, Stainless steel</li>
	<li>7 Layered Shoe Rack</li>
	<li>Adjustable &amp; Foldable</li>
	<li>Waterproof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 60 x 30 x 126</li>
	<li>Weight: 2.5 Kg</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49194,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel49194
7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel,"<ul>
	<li>Model:FH-5578</li>
	<li>Material:Cloth, Stainless steel</li>
	<li>7 Layered Shoe Rack</li>
	<li>Adjustable &amp; Foldable</li>
	<li>Waterproof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 60 x 30 x 126</li>
	<li>Weight: 2.5 Kg</li>
</ul>_<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",20,1,https://static-01.daraz.com.np/p/e3c88336861576cdb3e1787ad05ae3dd.jpg,active,"<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",Furniture & Décor / Storage & Organisation / Shoe Organisers,2100,1799,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel,seller,A&A readymade,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel price in Nepal,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel price in Nepal,"<ul>
	<li>Model:FH-5578</li>
	<li>Material:Cloth, Stainless steel</li>
	<li>7 Layered Shoe Rack</li>
	<li>Adjustable &amp; Foldable</li>
	<li>Waterproof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 60 x 30 x 126</li>
	<li>Weight: 2.5 Kg</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49195,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel49195
7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel,"<ul>
	<li>Model:FH-5578</li>
	<li>Material:Cloth, Stainless steel</li>
	<li>7 Layered Shoe Rack</li>
	<li>Adjustable &amp; Foldable</li>
	<li>Waterproof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 60 x 30 x 126</li>
	<li>Weight: 2.5 Kg</li>
</ul>_<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",19,1,https://static-01.daraz.com.np/p/356498a236d899de07b0d201be5ce600.jpg,active,"<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",Furniture & Décor / Storage & Organisation / Shoe Organisers,2100,1799,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel,seller,A&A readymade,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel price in Nepal,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel price in Nepal,"<ul>
	<li>Model:FH-5578</li>
	<li>Material:Cloth, Stainless steel</li>
	<li>7 Layered Shoe Rack</li>
	<li>Adjustable &amp; Foldable</li>
	<li>Waterproof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 60 x 30 x 126</li>
	<li>Weight: 2.5 Kg</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49196,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel49196
Pp Plastic Shoe Cabinet,"<ul>
	<li>PP Plastic shoes cabinet</li>
	<li>Easy to build</li>
	<li>Durable</li>
	<li>Portable</li>
</ul>_PP plastic shoe cabinet with 5×2 steps
Portable
Adjustable",498,5,https://static-01.daraz.com.np/p/827c2a010060870cc85f536cb06424cb.jpg,inactive,"PP plastic shoe cabinet with 5×2 steps
Portable
Adjustable",Furniture & Décor / Storage & Organisation / Shoe Organisers,,3500,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Pp Plastic Shoe Cabinet,seller,A&A readymade,Pp Plastic Shoe Cabinet price in Nepal,Pp Plastic Shoe Cabinet price in Nepal,"<ul>
	<li>PP Plastic shoes cabinet</li>
	<li>Easy to build</li>
	<li>Durable</li>
	<li>Portable</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49197,Pp Plastic Shoe Cabinet49197
Double Plastic Shoe Cabinet,<ul><li>Double column shoe cabinet</li><li>adjustable</li><li>6steps (12 in total )</li></ul>,481,8,https://static-01.daraz.com.np/p/2e14d2ee75a6d117685afecce96277bf.jpg,inactive,,Furniture & Décor / Storage & Organisation / Shoe Organisers,,3500,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Double Plastic Shoe Cabinet,seller,A&A readymade,Double Plastic Shoe Cabinet price in Nepal,Double Plastic Shoe Cabinet price in Nepal,<ul><li>Double column shoe cabinet</li><li>adjustable</li><li>6steps (12 in total )</li></ul>,TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49198,Double Plastic Shoe Cabinet49198
7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel,"<ul>
	<li>Model:FH-5578</li>
	<li>Material:Cloth, Stainless steel</li>
	<li>7 Layered Shoe Rack</li>
	<li>Adjustable &amp; Foldable</li>
	<li>Waterproof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 60 x 30 x 126</li>
	<li>Weight: 2.5 Kg</li>
</ul>_<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",20,1,https://static-01.daraz.com.np/p/06754d338a75caf50eb12e9096d11575.jpg,active,"<p><strong>Features</strong></p>

<ul>
	<li><em>The zipper closure covers can also be rolled up for convenience</em></li>
	<li><em>Large capacity and space-saving design</em></li>
	<li><em>It keeps shoes orderly organized and handy</em></li>
	<li><em>Lightweight and compact, easy to move and clean It is sturdy and easy to assembly</em></li>
	<li><em>A nice solution to the shoes and great helper for the housekeeping</em></li>
</ul>",Furniture & Décor / Storage & Organisation / Shoe Organisers,2100,1799,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel,seller,A&A readymade,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel price in Nepal,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel price in Nepal,"<ul>
	<li>Model:FH-5578</li>
	<li>Material:Cloth, Stainless steel</li>
	<li>7 Layered Shoe Rack</li>
	<li>Adjustable &amp; Foldable</li>
	<li>Waterproof &amp; Dust Proof</li>
	<li>Dimension(L x B x H cm): 60 x 30 x 126</li>
	<li>Weight: 2.5 Kg</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49199,7 Layer Metal Frame Shoes Rack /  Cabinet with Fabric Cover and Stainless Steel49199
